Date,Close,Open,High,Low,Volume
2020-04-01,20.31,20.1,21.55,19.9,0
2020-03-31,20.48,20.23,21.89,20.01,0
2020-03-30,20.09,20.93,20.93,19.27,0
2020-03-27,21.51,23.29,23.44,20.88,0
2020-03-26,22.6,24.25,24.65,22.38,0
2020-03-25,24.49,24.37,25.24,22.91,0
2020-03-24,24.01,23.87,25.16,23.09,0
2020-03-23,23.36,22.52,24.07,20.8,0
2020-03-20,22.43,24.73,27.89,19.46,0
2020-03-19,25.22,22.3,27.71,21.36,0
2020-03-18,20.37,26.94,27.22,20.06,286710
2020-03-17,26.95,28.69,30.3,26.63,545820
2020-03-16,28.7,33.75,33.75,28.1,698830
2020-03-13,31.73,30.77,33.87,30.33,743130
2020-03-12,31.5,33.07,33.63,30.02,1030000
2020-03-11,32.98,34.62,36.35,32.56,874650
2020-03-10,34.36,30.37,35.02,30.2,1060000
2020-03-09,31.13,32.87,34.88,27.34,1770000
2020-03-06,41.28,46.09,46.38,41.05,1280000
2020-03-05,45.9,47.13,47.57,45.65,704590
2020-03-04,46.78,46.94,48.41,46.65,745860
2020-03-03,47.18,47.72,48.66,46.47,1010000
2020-03-02,46.75,43.7,47.56,43.32,949470
2020-02-28,44.76,46.49,47.03,43.85,1100000
2020-02-27,47.09,48.63,48.78,45.88,1010000
2020-02-26,48.73,50.08,50.44,48.3,884480
2020-02-25,49.9,51.37,52.02,49.69,764990
2020-02-24,51.43,52.6,52.64,50.45,765520
2020-02-21,53.38,53.74,53.86,52.55,707560
2020-02-20,53.78,53.5,54.5,53.22,30670
2020-02-19,53.29,52.12,53.66,51.93,113680
2020-02-18,52.05,52.23,52.41,50.88,221770
2020-02-17,52.2,52.34,52.59,52.05,0
2020-02-16,52.36,52.45,52.63,52.34,0
2020-02-14,52.05,51.51,52.34,51.32,607340
2020-02-13,51.42,51.72,51.96,50.6,745400
2020-02-12,51.17,49.96,51.73,49.95,795260
2020-02-11,49.94,49.61,50.69,49.58,725730
2020-02-10,49.57,50.12,50.49,49.42,715890
2020-02-07,50.32,51.11,51.48,50.09,768350
2020-02-06,50.95,51.17,52.2,50.24,750660
2020-02-05,50.75,49.51,51.88,49.47,887950
2020-02-04,49.61,49.94,51.55,49.31,859360
2020-02-03,50.11,51.01,51.97,49.8,876040
2020-01-31,51.56,52.92,53.36,50.97,827910
2020-01-30,52.14,53.09,53.2,51.66,720120
2020-01-29,53.33,53.97,54.37,52.81,624980
2020-01-28,53.48,52.77,54.06,52.68,633960
2020-01-27,53.14,53.7,53.71,52.13,712880
2020-01-24,54.19,55.69,55.95,53.85,586200
2020-01-23,55.59,56.11,56.27,54.77,704000
2020-01-22,56.74,58.26,58.38,56.03,620120
2020-01-21,58.34,59.17,59.73,57.68,50180
2020-01-20,58.73,59.28,59.32,58.56,0
2020-01-19,59.27,59.36,59.66,59.2,0
2020-01-17,58.54,58.59,58.98,58.27,122560
2020-01-16,58.52,58.1,58.87,57.56,182870
2020-01-15,57.81,58.2,58.36,57.36,433170
2020-01-14,58.23,58.03,58.72,57.72,507710
2020-01-13,58.08,59.04,59.27,57.91,584000
2020-01-10,59.04,59.61,59.78,58.85,596190
2020-01-09,59.56,59.99,60.31,58.66,750930
2020-01-08,59.61,62.84,65.65,59.15,1210000
2020-01-07,62.7,62.91,63.15,62.11,582650
2020-01-06,63.27,63.71,64.72,62.64,724240
2020-01-03,63.05,61.18,64.09,61.13,885860
2020-01-02,61.18,61.6,61.6,60.64,486870
2020-01-01,61.33,61.52,61.54,61.33,0
2019-12-31,61.06,61.68,61.88,60.63,494540
2019-12-30,61.68,61.71,62.34,61.09,427150
2019-12-27,61.72,61.73,61.97,61.24,351900
2019-12-26,61.68,61.2,61.83,61.06,265090
2019-12-25,61.19,61.45,61.52,61.17,0
2019-12-24,61.11,60.63,61.16,60.47,204540
2019-12-23,60.52,60.41,60.77,60.1,314710
2019-12-20,60.44,61.11,61.2,60.02,552520
2019-12-19,61.22,60.86,61.47,60.79,35460
2019-12-18,60.93,60.55,61.18,60.32,131070
2019-12-17,60.94,60.23,61.06,60.03,163740
2019-12-16,60.21,59.87,60.34,59.71,347400
2019-12-13,60.07,59.36,60.48,59.27,512290
2019-12-12,59.18,58.88,59.72,58.75,530850
2019-12-11,58.76,59.06,59.22,58.11,589650
2019-12-10,59.24,58.92,59.52,58.52,566820
2019-12-09,59.02,59.11,59.25,58.23,511560
2019-12-06,59.2,58.32,59.85,57.7,679610
2019-12-05,58.43,58.36,59.12,58.1,649460
2019-12-04,58.43,56.43,58.66,56.28,760540
2019-12-03,56.1,55.96,56.8,55.35,560550
2019-12-02,55.96,55.47,56.67,55.42,616420
2019-11-29,55.17,58.13,58.3,55.02,718720
2019-11-28,58.08,57.97,58.29,57.64,0
2019-11-27,58.11,58.27,58.68,57.51,454260
2019-11-26,58.41,57.92,58.56,57.76,443820
2019-11-25,58.01,57.92,58.15,57.21,420640
2019-11-22,57.77,58.31,58.74,57.5,508240
2019-11-21,58.58,57,58.67,56.6,593530
2019-11-20,57.11,55.16,57.25,54.76,31920
2019-11-19,55.21,56.9,57.11,55.04,121210
2019-11-18,57.05,57.88,58.09,56.55,159330
2019-11-15,57.72,56.91,57.97,56.43,375990
2019-11-14,56.77,57.39,57.79,56.63,516830
2019-11-13,57.12,56.79,57.53,56.2,547640
2019-11-12,56.8,56.89,57.55,56.54,586570
2019-11-11,56.86,57.4,57.4,56.25,498980
2019-11-08,57.24,57.08,57.48,55.76,636940
2019-11-07,57.15,56.35,57.88,56.27,678170
2019-11-06,56.35,57.26,57.85,56.11,623260
2019-11-05,57.23,56.56,57.5,56.3,435320
2019-11-04,56.54,56.41,57.43,55.83,580350
2019-11-01,56.2,54.15,56.33,54.07,538120
2019-10-31,54.18,54.9,55.59,53.71,677420
2019-10-30,55.06,55.53,55.73,54.42,659330
2019-10-29,55.54,55.8,55.91,54.61,521460
2019-10-28,55.81,56.65,56.92,55.58,437020
2019-10-25,56.66,56.07,56.74,55.6,445020
2019-10-24,56.23,55.9,56.51,55.41,480760
2019-10-23,55.97,54.3,56.07,53.62,620200
2019-10-22,54.16,53.39,54.62,53.1,33920
2019-10-21,53.31,53.71,54.03,52.71,95980
2019-10-18,53.78,54.09,54.62,53.35,174480
2019-10-17,53.93,52.99,54.16,52.62,418420
2019-10-16,53.36,52.92,53.74,52.51,451640
2019-10-15,52.81,53.51,53.79,52.39,511250
2019-10-14,53.59,54.9,54.9,52.77,467640
2019-10-11,54.7,53.88,54.93,53.64,741700
2019-10-10,53.55,52.69,53.97,51.38,613940
2019-10-09,52.59,52.57,53.74,52.31,632670
2019-10-08,52.63,52.81,53.27,51.81,658320
2019-10-07,52.75,52.69,54.06,52.59,549020
2019-10-04,52.81,52.29,53.35,52.04,541100
2019-10-03,52.45,52.47,52.91,50.99,642470
2019-10-02,52.64,54,54.42,52.17,590310
