"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2020","4.38","4.24","4.38","4.13","116.98M","4.04%"
"Mar 31, 2020","4.21","4.37","4.37","4.16","123.81M","-0.47%"
"Mar 30, 2020","4.23","4.21","4.28","4.03","162.98M","-5.37%"
"Mar 27, 2020","4.47","4.51","4.53","4.33","122.50M","-7.45%"
"Mar 26, 2020","4.83","4.90","4.96","4.64","124.81M","-4.92%"
"Mar 25, 2020","5.08","4.89","5.16","4.75","98.14M","2.01%"
"Mar 24, 2020","4.98","5.06","5.07","4.79","84.15M","2.05%"
"Mar 23, 2020","4.88","4.77","4.90","4.53","70.52M","-1.21%"
"Mar 20, 2020","4.94","5.28","5.37","4.68","146.67M","-8.01%"
"Mar 19, 2020","5.37","4.79","5.67","4.60","129.21M","14.01%"
"Mar 18, 2020","4.71","5.06","5.18","4.29","189.29M","-17.51%"
"Mar 17, 2020","5.71","6.04","6.15","5.63","68.95M","-5.62%"
"Mar 16, 2020","6.05","6.09","6.38","5.82","76.13M","-13.07%"
"Mar 13, 2020","6.96","6.89","7.13","6.54","78.66M","6.42%"
"Mar 12, 2020","6.54","6.44","6.80","6.43","93.04M","-5.76%"
"Mar 11, 2020","6.94","7.02","7.09","6.84","65.18M","-4.14%"
"Mar 10, 2020","7.24","7.09","7.33","6.86","85.59M","11.04%"
"Mar 09, 2020","6.52","6.82","7.30","6.50","154.15M","-25.32%"
"Mar 06, 2020","8.73","9.26","9.27","8.60","78.26M","-9.16%"
"Mar 05, 2020","9.61","9.81","9.85","9.55","33.12M","-2.54%"
"Mar 04, 2020","9.86","10.11","10.13","9.76","46.35M","-0.30%"
"Mar 03, 2020","9.89","10.00","10.18","9.72","51.27M","-0.30%"
"Mar 02, 2020","9.92","9.67","9.92","9.54","41.39M","4.97%"
"Feb 28, 2020","9.45","9.42","9.50","9.17","43.00M","-3.37%"
"Feb 27, 2020","9.78","9.72","9.99","9.60","49.87M","-4.02%"
"Feb 26, 2020","10.19","10.38","10.55","10.11","39.46M","-2.02%"
"Feb 25, 2020","10.40","10.76","10.78","10.40","33.07M","-3.17%"
"Feb 24, 2020","10.74","10.63","10.80","10.55","37.55M","-3.76%"
"Feb 21, 2020","11.16","11.08","11.21","10.99","27.05M","-1.06%"
"Feb 20, 2020","11.28","11.31","11.43","11.24","27.38M","0.89%"
"Feb 19, 2020","11.18","11.13","11.23","11.02","25.10M","2.10%"
"Feb 18, 2020","10.95","10.76","10.95","10.75","21.43M","0.00%"
"Feb 14, 2020","10.95","10.96","10.99","10.84","24.46M","1.01%"
"Feb 13, 2020","10.84","10.82","10.90","10.75","28.88M","0.28%"
"Feb 12, 2020","10.81","10.82","10.86","10.71","31.42M","2.95%"
"Feb 11, 2020","10.50","10.63","10.64","10.45","24.94M","0.77%"
"Feb 10, 2020","10.42","10.48","10.56","10.38","22.61M","-1.51%"
"Feb 07, 2020","10.58","10.60","10.72","10.54","20.89M","-1.49%"
"Feb 06, 2020","10.74","10.64","10.77","10.55","26.00M","0.37%"
"Feb 05, 2020","10.70","10.75","10.89","10.59","40.71M","2.49%"
"Feb 04, 2020","10.44","10.68","10.70","10.40","41.52M","-0.48%"
"Feb 03, 2020","10.49","10.74","10.84","10.48","40.47M","-3.23%"
"Jan 31, 2020","10.84","10.88","10.98","10.70","32.42M","-2.17%"
"Jan 30, 2020","11.08","10.93","11.09","10.85","29.52M","-0.72%"
"Jan 29, 2020","11.16","11.28","11.29","11.09","21.80M","-0.80%"
"Jan 28, 2020","11.25","11.16","11.32","11.11","24.39M","1.35%"
"Jan 27, 2020","11.10","11.11","11.24","11.02","25.14M","-2.89%"
"Jan 24, 2020","11.43","11.49","11.50","11.31","24.41M","-1.97%"
"Jan 23, 2020","11.66","11.60","11.71","11.50","30.87M","-2.02%"
"Jan 22, 2020","11.90","12.03","12.04","11.88","25.57M","-2.78%"
"Jan 21, 2020","12.24","12.22","12.34","12.21","13.68M","-0.73%"
"Jan 17, 2020","12.33","12.33","12.37","12.24","17.77M","0.33%"
"Jan 16, 2020","12.29","12.20","12.36","12.20","15.69M","0.90%"
"Jan 15, 2020","12.18","12.20","12.22","12.05","15.05M","-0.81%"
"Jan 14, 2020","12.28","12.27","12.32","12.20","18.71M","0.66%"
"Jan 13, 2020","12.20","12.31","12.31","12.16","22.87M","-1.69%"
"Jan 10, 2020","12.41","12.43","12.48","12.34","16.13M","-0.64%"
"Jan 09, 2020","12.49","12.45","12.54","12.29","27.52M","-1.34%"
"Jan 08, 2020","12.66","13.06","13.07","12.39","55.42M","-3.58%"
"Jan 07, 2020","13.13","13.10","13.18","13.01","14.88M","-0.23%"
"Jan 06, 2020","13.16","13.30","13.32","13.12","20.79M","-0.15%"
"Jan 03, 2020","13.18","13.27","13.32","13.03","34.61M","2.89%"
"Jan 02, 2020","12.81","12.80","12.85","12.70","12.50M","0.00%"
"Dec 31, 2019","12.81","12.71","12.96","12.69","11.61M","-0.62%"
"Dec 30, 2019","12.89","13.01","13.02","12.79","8.97M","-0.15%"
"Dec 27, 2019","12.91","12.92","12.96","12.82","9.10M","0.16%"
"Dec 26, 2019","12.89","12.82","12.94","12.82","7.05M","0.94%"
"Dec 24, 2019","12.77","12.73","12.79","12.72","3.45M","0.55%"
"Dec 23, 2019","12.70","12.61","12.72","12.59","7.45M","0.55%"
