Date,Close,Open,High,Low,Volume
2020-04-01,4.38,4.24,4.38,4.13,116980000
2020-03-31,4.21,4.37,4.37,4.16,123810000
2020-03-30,4.23,4.21,4.28,4.03,162980000
2020-03-27,4.47,4.51,4.53,4.33,122500000
2020-03-26,4.83,4.9,4.96,4.64,124810000
2020-03-25,5.08,4.89,5.16,4.75,98140000
2020-03-24,4.98,5.06,5.07,4.79,84150000
2020-03-23,4.88,4.77,4.9,4.53,70520000
2020-03-20,4.94,5.28,5.37,4.68,146670000
2020-03-19,5.37,4.79,5.67,4.6,129210000
2020-03-18,4.71,5.06,5.18,4.29,189290000
2020-03-17,5.71,6.04,6.15,5.63,68950000
2020-03-16,6.05,6.09,6.38,5.82,76130000
2020-03-13,6.96,6.89,7.13,6.54,78660000
2020-03-12,6.54,6.44,6.8,6.43,93040000
2020-03-11,6.94,7.02,7.09,6.84,65180000
2020-03-10,7.24,7.09,7.33,6.86,85590000
2020-03-09,6.52,6.82,7.3,6.5,154150000
2020-03-06,8.73,9.26,9.27,8.6,78260000
2020-03-05,9.61,9.81,9.85,9.55,33120000
2020-03-04,9.86,10.11,10.13,9.76,46350000
2020-03-03,9.89,10,10.18,9.72,51270000
2020-03-02,9.92,9.67,9.92,9.54,41390000
2020-02-28,9.45,9.42,9.5,9.17,43000000
2020-02-27,9.78,9.72,9.99,9.6,49870000
2020-02-26,10.19,10.38,10.55,10.11,39460000
2020-02-25,10.4,10.76,10.78,10.4,33070000
2020-02-24,10.74,10.63,10.8,10.55,37550000
2020-02-21,11.16,11.08,11.21,10.99,27050000
2020-02-20,11.28,11.31,11.43,11.24,27380000
2020-02-19,11.18,11.13,11.23,11.02,25100000
2020-02-18,10.95,10.76,10.95,10.75,21430000
2020-02-14,10.95,10.96,10.99,10.84,24460000
2020-02-13,10.84,10.82,10.9,10.75,28880000
2020-02-12,10.81,10.82,10.86,10.71,31420000
2020-02-11,10.5,10.63,10.64,10.45,24940000
2020-02-10,10.42,10.48,10.56,10.38,22610000
2020-02-07,10.58,10.6,10.72,10.54,20890000
2020-02-06,10.74,10.64,10.77,10.55,26000000
2020-02-05,10.7,10.75,10.89,10.59,40710000
2020-02-04,10.44,10.68,10.7,10.4,41520000
2020-02-03,10.49,10.74,10.84,10.48,40470000
2020-01-31,10.84,10.88,10.98,10.7,32420000
2020-01-30,11.08,10.93,11.09,10.85,29520000
2020-01-29,11.16,11.28,11.29,11.09,21800000
2020-01-28,11.25,11.16,11.32,11.11,24390000
2020-01-27,11.1,11.11,11.24,11.02,25140000
2020-01-24,11.43,11.49,11.5,11.31,24410000
2020-01-23,11.66,11.6,11.71,11.5,30870000
2020-01-22,11.9,12.03,12.04,11.88,25570000
2020-01-21,12.24,12.22,12.34,12.21,13680000
2020-01-17,12.33,12.33,12.37,12.24,17770000
2020-01-16,12.29,12.2,12.36,12.2,15690000
2020-01-15,12.18,12.2,12.22,12.05,15050000
2020-01-14,12.28,12.27,12.32,12.2,18710000
2020-01-13,12.2,12.31,12.31,12.16,22870000
2020-01-10,12.41,12.43,12.48,12.34,16130000
2020-01-09,12.49,12.45,12.54,12.29,27520000
2020-01-08,12.66,13.06,13.07,12.39,55420000
2020-01-07,13.13,13.1,13.18,13.01,14880000
2020-01-06,13.16,13.3,13.32,13.12,20790000
2020-01-03,13.18,13.27,13.32,13.03,34610000
2020-01-02,12.81,12.8,12.85,12.7,12500000
2019-12-31,12.81,12.71,12.96,12.69,11610000
2019-12-30,12.89,13.01,13.02,12.79,8970000
2019-12-27,12.91,12.92,12.96,12.82,9100000
2019-12-26,12.89,12.82,12.94,12.82,7050000
2019-12-24,12.77,12.73,12.79,12.72,3450000
2019-12-23,12.7,12.61,12.72,12.59,7450000
2019-12-20,12.63,12.72,12.72,12.56,11440000
2019-12-19,12.78,12.75,12.85,12.71,7680000
2019-12-18,12.74,12.66,12.79,12.62,11870000
2019-12-17,12.72,12.65,12.76,12.65,11950000
2019-12-16,12.59,12.58,12.62,12.56,6410000
2019-12-13,12.49,12.41,12.63,12.39,17100000
2019-12-12,12.37,12.3,12.47,12.3,22300000
2019-12-11,12.3,12.33,12.37,12.14,15350000
2019-12-10,12.39,12.31,12.43,12.27,10270000
2019-12-09,12.33,12.25,12.38,12.25,13750000
2019-12-06,12.32,12.13,12.49,12.12,21010000
