Date,Price,Open,High,Low,Vol.,Change %
9/24/2019,443.85,443.7,444.5,442.55,3.90K,0.05%
9/23/2019,443.65,445.45,445.45,439.4,20.29K,0.06%
9/20/2019,443.4,448.85,448.9,442.5,18.13K,-0.93%
9/19/2019,447.55,447.9,448.95,445.65,16.77K,0.15%
9/18/2019,446.9,453.05,453.4,446.5,20.75K,-1.03%
9/17/2019,451.55,456,456,450.2,17.90K,-0.97%
9/16/2019,455.95,457.3,459.95,455.05,19.32K,-0.87%
9/13/2019,459.95,453.85,460.3,452.7,23.42K,1.57%
9/12/2019,452.85,451.9,456.95,445.2,31.66K,0.53%
9/11/2019,450.45,453.1,455.4,449.55,17.73K,-0.74%
9/10/2019,453.8,452,454.75,450.6,10.16K,0.11%
9/9/2019,453.3,452.75,453.85,450.35,14.12K,-0.01%
9/6/2019,453.35,454.4,455.9,451.4,18.55K,-0.46%
9/5/2019,455.45,449.4,456.2,447.5,25.09K,1.35%
9/4/2019,449.4,441.45,449.9,441.45,20.34K,2.02%
9/3/2019,440.5,441,442.8,435.65,20.40K,0.10%
9/2/2019,440.05,442.05,442.05,439.6,5.97K,0.65%
8/30/2019,437.2,439.8,441.5,435.75,0.05K,-0.86%
8/29/2019,441,442.25,446.9,439.5,0.48K,-0.44%
8/28/2019,442.95,440.3,444.35,438.85,0.83K,0.54%
8/27/2019,440.55,439.95,442.9,439.15,1.54K,-0.01%
8/26/2019,440.6,439.6,441.9,436.85,6.50K,0.12%
8/23/2019,440.05,446.3,446.4,439.5,15.84K,-1.09%
8/22/2019,444.9,447.6,447.6,443.65,13.15K,-0.22%
8/21/2019,445.9,447.85,447.85,445.25,11.68K,0.09%
8/20/2019,445.5,449.15,450.35,445.15,15.45K,-1.03%
8/19/2019,450.15,446.65,451.25,445.55,20.92K,0.93%
8/16/2019,446,448.5,448.5,445,11.19K,-0.51%
8/14/2019,448.3,449.35,450.25,446.2,13.16K,-0.46%
8/13/2019,450.35,444.6,451.3,443.75,20.60K,1.27%
