,Actual,Predicted,delta,trend_actual,trend_predicted
1,87.06,88.689415,-1.629415,,
2,88.27,87.17883,1.09117,,
3,89.98,87.86681,2.11319,,
4,88.66,89.38901,-0.72901,,
5,91.36,88.50175,2.85825,,
6,91.77,90.86053,0.90947,,
7,92.37,91.42772,0.94228,,
8,91.05,92.109375,-1.059375,,
9,90.62,91.13079,-0.51079,,
10,89.55,90.66936,-1.11936,,
11,87.72,89.670425,-1.950425,,
12,89.15,87.97672,1.17328,,
13,90.58,88.90224,1.67776,,
14,89.9,90.173256,-0.273256,,
15,91,89.76459,1.23541,,
16,91.68,90.717674,0.962326,,
17,94.24,91.405106,2.834894,,
18,92.92,93.8581,-0.9381,,
19,94.24,92.95909,1.28091,,
20,95.79,94.09617,1.69383,,
21,96.24,95.568016,0.671984,,
22,95.35,96.11891,-0.76891,,
23,97.79,95.44979,2.34021,,
24,99.17,97.62997,1.54003,,
25,99.23,98.964485,0.265515,,
26,96.05,99.18141,-3.13141,,
27,96.12,96.46222,-0.34222,,
28,96.84,96.25223,0.58777,,
29,95.81,96.73519,-0.92519,,
30,93.99,95.83805,-1.84805,,
31,93.58,94.17344,-0.59344,,
32,91.04,93.58673,-2.54673,,
33,91.39,91.29319,0.09681,,
34,90.35,91.23823,-0.88823,,
35,90.97,90.27136,0.69864,,
36,91.43,90.65167,0.77833,,
37,92.57,91.0775,1.4925,,
38,94.21,92.17047,2.03953,,
39,89.45,93.80184,-4.35184,,
40,88.22,90.00592,-1.78592,,
41,88.27,88.51922,-0.24922,,
42,90.53,88.189125,2.340875,,
43,87.27,90.06146,-2.79146,,
44,88.23,87.533455,0.696545,,
45,89.68,88.018074,1.661926,,
46,88.79,89.25898,-0.46898,,
47,91.19,88.671974,2.518026,,
48,91.36,90.7782,0.5818,,
49,94.56,91.11686,3.44314,,
50,96.88,94.156784,2.723216,,
51,98.28,96.53715,1.74285,,
52,97.36,98.06629,-0.70629,,
53,98.09,97.47919,0.61081,,
54,94.88,98.13205,-3.25205,,
55,93.88,95.366425,-1.486425,,
56,93.7,94.19626,-0.49626,,
57,93.95,93.76381,0.18619,,
58,91.35,93.82984,-2.47984,,
59,93.59,91.5892,2.0008,,
60,96.01,93.28728,2.72272,,
61,95.91,95.53661,0.37339,,
62,95.84,95.66786,0.17214,,
63,96.83,95.720314,1.109686,,
64,94.46,96.63044,-2.17044,,
65,95.93,94.68285,1.24715,,
66,93.65,95.805,-2.155,,
67,95.15,93.860435,1.289565,,
68,89.72,94.97783,-5.25783,,
69,93.67,90.41922,3.25078,,
70,91.72,93.374374,-1.654374,,
71,90.36,91.729904,-1.369904,,
72,87.63,90.428825,-2.798825,,
73,85.17,87.950134,-2.780134,,
74,85.77,85.51776,0.25224,,
75,88.86,85.50456,3.35544,,
76,89.74,88.11829,1.62171,,
77,87.1,89.17422,-2.07422,,
78,87.5,87.24777,0.25223,,
79,86.5,87.34155,-0.84155,,
80,83.91,86.48434,-2.57434,,
81,82.87,84.26004,-1.39004,,
82,81.32,82.9925,-1.6725,,
83,80.22,81.44325,-1.22325,,
84,79.26,80.2199,-0.9599,,
85,81.11,79.169586,1.940414,,
86,81.4,80.47374,0.92626,,
87,79.68,80.9018,-1.2218,,
88,80.23,79.694046,0.535954,,
89,80.22,79.94325,0.27675,,
90,81.75,79.939316,1.810684,,
91,82.95,81.24787,1.70213,,
92,80.63,82.48227,-1.85227,,
93,79.32,80.88293,-1.56293,,
94,80.61,79.56754,1.04246,,
95,81.3,80.30884,0.99116,,
96,81.78,80.930954,0.849046,,
97,81.73,81.45243,0.27757,,
98,82.17,81.51835,0.65165,,
99,80.86,81.92785,-1.06785,,
100,79.03,80.954834,-1.924834,,
101,79.92,79.33945,0.58055,,
102,79.65,79.6954,-0.0454,,
103,78.16,79.44314,-1.28314,,
104,77.79,78.24555,-0.45555,,
105,76.46,77.68985,-1.22985,,
106,76.59,76.5121,0.0779,,
107,75.88,76.3503,-0.4703,,
108,75.12,75.71636,-0.59636,,
109,73.9,74.996704,-1.096704,,
110,73.6,73.906975,-0.306975,,
111,73.5,73.41863,0.08137,,
112,71.58,73.21147,-1.63147,,
113,72.12,71.73135,0.38865,,
114,71.04,71.78741,-0.74741,,
115,70.02,70.93204,-0.91204,,
116,69.35,69.97687,-0.62687,,
117,69.64,69.233505,0.406495,,
118,70.9,69.25574,1.64426,,
119,71.77,70.22125,1.54875,,
120,71.67,71.153366,0.516634,,
121,73.14,71.34925,1.79075,,
122,72.69,72.58931,0.10069,,
123,71.55,72.52024,-0.97024,,
124,71.47,71.66939,-0.19939,,
125,71.59,71.39912,0.19088,,
126,72.27,71.387024,0.882976,,
127,72.38,71.89459,0.48541,,
128,72.06,72.09318,-0.03318,,
129,75.04,71.90751,3.13249,,
130,76.89,74.23415,2.65585,,
131,76.74,76.209145,0.530855,,
132,77.94,76.543175,1.396825,,
133,76.7,77.65358,-0.95358,,
134,76.92,76.87242,0.04758,,
135,75.05,76.89514,-1.84514,,
136,76.31,75.406105,0.903895,,
137,73.35,76.05126,-2.70126,,
138,74.89,73.866066,1.023934,,
139,75.69,74.545006,1.144994,,
140,75.96,75.21945,0.74055,,
141,75.07,75.593155,-0.523155,,
142,74.21,75.00162,-0.79162,,
143,74.28,74.22298,0.05702,,
144,74.01,74.097275,-0.087275,,
145,72.72,73.831184,-1.111184,,
146,72.45,72.78743,-0.33743,,
147,72.61,72.33154,0.27846,,
148,72.05,72.32097,-0.27097,,
149,72.75,71.8774,0.8726,,
150,71.8,72.33466,-0.53466,,
151,71.25,71.698616,-0.448616,,
152,71.28,71.15897,0.12103,,
153,70.52,71.04467,-0.52467,,
154,69.58,70.42648,-0.84648,,
155,69,69.573265,-0.573265,,
