Date,Price,Open,High,Low,Vol.,Change %
9/24/2019,2.572,2.555,2.572,2.543,-,1.78%
9/23/2019,2.527,2.522,2.547,2.493,99.32K,0.12%
9/22/2019,2.524,2.539,2.545,2.514,-,-0.39%
9/20/2019,2.534,2.552,2.579,2.506,130.29K,-0.16%
9/19/2019,2.538,2.639,2.639,2.53,199.31K,-3.75%
9/18/2019,2.637,2.663,2.696,2.603,157.92K,-1.16%
9/17/2019,2.668,2.686,2.71,2.628,180.76K,-0.48%
9/16/2019,2.681,2.688,2.7,2.641,197.19K,2.56%
9/13/2019,2.614,2.573,2.639,2.553,184.46K,1.55%
9/12/2019,2.574,2.547,2.585,2.512,218.45K,0.86%
9/11/2019,2.552,2.581,2.6,2.529,211.02K,-1.09%
9/10/2019,2.58,2.606,2.648,2.571,259.97K,-0.19%
9/9/2019,2.585,2.527,2.608,2.496,276.72K,3.57%
9/6/2019,2.496,2.435,2.505,2.403,201.59K,2.51%
9/5/2019,2.435,2.442,2.468,2.388,229.80K,-0.41%
9/4/2019,2.445,2.346,2.457,2.339,218.51K,3.69%
9/3/2019,2.358,2.288,2.365,2.269,221.62K,1.99%
9/2/2019,2.312,2.274,2.343,2.268,-,1.63%
9/1/2019,2.275,2.292,2.292,2.274,-,-0.44%
8/30/2019,2.285,2.288,2.299,2.257,124.71K,-0.48%
8/29/2019,2.296,2.235,2.31,2.218,200.41K,2.00%
8/28/2019,2.251,2.201,2.277,2.195,8.66K,2.23%
8/27/2019,2.202,2.231,2.233,2.175,63.22K,-1.26%
8/26/2019,2.23,2.169,2.237,2.159,52.78K,3.62%
8/23/2019,2.152,2.15,2.167,2.12,81.62K,-0.32%
8/22/2019,2.159,2.169,2.195,2.145,113.11K,-0.51%
8/21/2019,2.17,2.214,2.238,2.157,193.53K,-2.16%
8/20/2019,2.218,2.202,2.231,2.187,107.84K,0.36%
8/19/2019,2.21,2.164,2.221,2.134,144.76K,0.45%
8/16/2019,2.2,2.22,2.224,2.17,111.99K,-1.43%
8/15/2019,2.232,2.159,2.267,2.138,206.77K,4.15%
8/14/2019,2.143,2.159,2.203,2.122,127.37K,-0.19%
8/13/2019,2.147,2.106,2.175,2.086,199.87K,2.00%
8/12/2019,2.105,2.124,2.157,2.095,167.91K,-0.66%
8/9/2019,2.119,2.124,2.145,2.064,171.91K,-0.42%
8/8/2019,2.128,2.088,2.155,2.086,191.13K,2.16%
8/7/2019,2.083,2.103,2.145,2.074,203.42K,-1.33%
8/6/2019,2.111,2.091,2.133,2.073,142.25K,1.98%
8/5/2019,2.07,2.078,2.109,2.029,179.23K,-2.40%
8/2/2019,2.121,2.169,2.202,2.077,206.34K,-3.68%
8/1/2019,2.202,2.238,2.333,2.165,251.30K,-1.39%
7/31/2019,2.233,2.138,2.268,2.127,221.83K,4.49%
7/30/2019,2.137,2.116,2.142,2.107,91.72K,-0.19%
7/29/2019,2.141,2.175,2.182,2.12,8.76K,-1.29%
7/26/2019,2.169,2.24,2.242,2.165,45.84K,-3.34%
7/25/2019,2.244,2.231,2.261,2.222,47.53K,1.08%
7/24/2019,2.22,2.29,2.297,2.212,116.59K,-3.48%
7/23/2019,2.3,2.319,2.328,2.289,106.90K,-0.52%
7/22/2019,2.312,2.242,2.322,2.233,168.62K,2.71%
7/19/2019,2.251,2.29,2.3,2.242,109.06K,-1.57%
7/18/2019,2.287,2.309,2.355,2.266,173.29K,-0.74%
7/17/2019,2.304,2.318,2.346,2.29,135.14K,-0.09%
7/16/2019,2.306,2.395,2.408,2.298,148.94K,-4.24%
7/15/2019,2.408,2.462,2.469,2.383,150.76K,-1.83%
7/12/2019,2.453,2.41,2.481,2.397,171.93K,1.53%
7/11/2019,2.416,2.445,2.487,2.393,213.62K,-1.15%
7/10/2019,2.444,2.429,2.489,2.416,193.98K,0.78%
7/9/2019,2.425,2.397,2.437,2.36,202.65K,0.92%
7/8/2019,2.403,2.46,2.467,2.369,201.73K,-0.62%
7/5/2019,2.418,2.287,2.445,2.263,237.74K,5.82%
7/4/2019,2.285,2.288,2.3,2.264,-,-0.22%
7/3/2019,2.29,2.24,2.296,2.237,91.19K,2.23%
7/2/2019,2.24,2.266,2.297,2.232,96.73K,-1.19%
7/1/2019,2.267,2.33,2.331,2.217,149.17K,-1.78%
6/28/2019,2.308,2.32,2.364,2.3,116.43K,-0.69%
6/27/2019,2.324,2.271,2.339,2.265,108.70K,1.44%
6/26/2019,2.291,2.289,2.324,2.265,6.63K,-0.74%
6/25/2019,2.308,2.303,2.315,2.255,55.01K,0.22%
6/24/2019,2.303,2.197,2.316,2.195,67.65K,5.35%
6/21/2019,2.186,2.213,2.222,2.181,92.24K,0.05%
6/20/2019,2.185,2.28,2.303,2.159,210.07K,-4.00%
6/19/2019,2.276,2.332,2.358,2.268,173.67K,-2.23%
6/18/2019,2.328,2.373,2.404,2.318,121.40K,-2.43%
6/17/2019,2.386,2.389,2.418,2.357,120.28K,-0.04%
6/14/2019,2.387,2.328,2.399,2.323,132.41K,2.67%
