Date,Open,High,Low,Price,Vol.,Change %
20-Sep-19,"10,740.90","11,381.15","10,692.75","11,275.45",1.36M,5.33%
19-Sep-19,"10,845.20","10,845.20","10,670.25","10,704.80",642.60M,-1.25%
18-Sep-19,"10,872.80","10,885.15","10,804.85","10,840.65",519.16M,0.21%
17-Sep-19,"11,000.10","11,000.10","10,796.50","10,817.60",482.01M,-1.69%
16-Sep-19,"10,994.85","11,052.70","10,968.20","11,003.50",434.45M,-0.65%
13-Sep-19,"10,986.80","11,084.45","10,945.75","11,075.90",624.31M,0.85%
12-Sep-19,"11,058.30","11,081.75","10,964.95","10,982.80",551.44M,-0.48%
11-Sep-19,"11,028.50","11,054.80","11,011.65","11,035.70",687.14M,0.30%
9-Sep-19,"10,936.70","11,028.85","10,889.80","11,003.05",412.47M,0.52%
6-Sep-19,"10,883.80","10,957.05","10,867.45","10,946.20",497.21M,0.91%
5-Sep-19,"10,860.95","10,920.10","10,816.00","10,847.90",595.70M,0.03%
4-Sep-19,"10,790.40","10,858.75","10,746.35","10,844.65",508.78M,0.43%
3-Sep-19,"10,960.95","10,967.50","10,772.70","10,797.90",483.04M,-2.04%
30-Aug-19,"10,987.80","11,042.60","10,874.80","11,023.25",628.15M,0.68%
29-Aug-19,"10,996.05","11,021.10","10,922.40","10,948.30",649.88M,-0.89%
28-Aug-19,"11,101.30","11,129.65","10,987.65","11,046.10",549.96M,-0.53%
27-Aug-19,"11,106.55","11,141.75","11,049.50","11,105.35",685.55M,0.43%
26-Aug-19,"11,000.30","11,070.30","10,756.55","11,057.85",684.14M,2.11%
23-Aug-19,"10,699.60","10,862.55","10,637.15","10,829.35",667.08M,0.82%
22-Aug-19,"10,905.30","10,908.25","10,718.30","10,741.35",668.19M,-1.62%
21-Aug-19,"11,018.15","11,034.20","10,906.65","10,918.70",557.87M,-0.89%
20-Aug-19,"11,063.90","11,076.30","10,985.30","11,017.00",444.72M,-0.33%
19-Aug-19,"11,094.80","11,146.90","11,037.85","11,053.90",369.49M,0.06%
16-Aug-19,"11,043.65","11,068.65","10,924.30","11,047.80",470.91M,0.17%
14-Aug-19,"11,003.25","11,078.15","10,935.60","11,029.40",511.54M,0.95%
13-Aug-19,"11,139.40","11,145.90","10,901.60","10,925.85",624.64M,-1.65%
9-Aug-19,"11,087.90","11,181.45","11,062.80","11,109.65",538.06M,0.70%
8-Aug-19,"10,899.20","11,058.05","10,842.95","11,032.45",482.47M,1.63%
7-Aug-19,"10,958.10","10,975.65","10,835.90","10,855.50",548.47M,-0.85%
6-Aug-19,"10,815.40","11,018.55","10,813.80","10,948.25",517.89M,0.79%
5-Aug-19,"10,895.80","10,895.80","10,782.60","10,862.60",506.56M,-1.23%
2-Aug-19,"10,930.30","11,080.15","10,848.95","10,997.35",547.42M,0.16%
1-Aug-19,"11,060.20","11,076.75","10,881.00","10,980.00",499.92M,-1.24%
31-Jul-19,"11,034.05","11,145.30","10,999.40","11,118.00",536.69M,0.29%
30-Jul-19,"11,213.70","11,267.45","11,072.65","11,085.40",479.06M,-0.93%
29-Jul-19,"11,307.50","11,310.95","11,152.40","11,189.20",482.86M,-0.84%
26-Jul-19,"11,247.45","11,307.60","11,210.05","11,284.30",522.67M,0.29%
25-Jul-19,"11,290.40","11,361.40","11,239.35","11,252.15",553.68M,-0.17%
24-Jul-19,"11,322.45","11,359.75","11,229.80","11,271.30",413.20M,-0.53%
23-Jul-19,"11,372.25","11,398.15","11,302.80","11,331.05",458.93M,-0.13%
22-Jul-19,"11,392.85","11,398.15","11,301.25","11,346.20",516.04M,-0.64%
19-Jul-19,"11,627.95","11,640.35","11,399.30","11,419.25",446.05M,-1.53%
18-Jul-19,"11,675.60","11,677.15","11,582.40","11,596.90",498.26M,-0.78%
17-Jul-19,"11,670.75","11,706.65","11,651.15","11,687.50",464.83M,0.21%
16-Jul-19,"11,596.65","11,670.05","11,573.95","11,662.60",480.16M,0.64%
15-Jul-19,"11,614.75","11,618.40","11,532.30","11,588.35",368.79M,0.31%
12-Jul-19,"11,601.15","11,639.55","11,538.60","11,552.50",359.42M,-0.26%
11-Jul-19,"11,561.45","11,599.00","11,519.50","11,582.90",317.26M,0.73%
10-Jul-19,"11,536.15","11,593.70","11,475.65","11,498.90",337.57M,-0.49%
9-Jul-19,"11,531.60","11,582.55","11,461.00","11,555.90",442.52M,-0.02%
8-Jul-19,"11,770.40","11,771.90","11,523.30","11,558.60",464.03M,-2.14%
5-Jul-19,"11,964.75","11,981.75","11,797.90","11,811.15",530.72M,-1.14%
4-Jul-19,"11,928.80","11,969.25","11,923.65","11,946.75",333.60M,0.25%
3-Jul-19,"11,932.15","11,945.20","11,887.05","11,916.75",340.53M,0.05%
2-Jul-19,"11,890.30","11,917.45","11,814.70","11,910.30",363.20M,0.38%
1-Jul-19,"11,839.90","11,884.65","11,830.80","11,865.60",278.42M,0.65%
28-Jun-19,"11,861.15","11,871.70","11,775.50","11,788.85",303.89M,-0.45%
27-Jun-19,"11,860.85","11,911.15","11,821.05","11,841.55",480.17M,-0.05%
26-Jun-19,"11,768.15","11,871.85","11,757.55","11,847.55",327.88M,0.43%
25-Jun-19,"11,681.00","11,814.40","11,651.00","11,796.45",300.48M,0.83%
24-Jun-19,"11,725.80","11,754.00","11,670.20","11,699.65",277.62M,-0.21%
21-Jun-19,"11,827.60","11,827.95","11,705.10","11,724.10",468.43M,-0.91%
20-Jun-19,"11,653.65","11,843.50","11,635.05","11,831.75",442.02M,1.20%
19-Jun-19,"11,744.45","11,802.50","11,625.10","11,691.45",446.93M,0.00%
18-Jun-19,"11,677.05","11,727.20","11,641.15","11,691.50",365.53M,0.17%
17-Jun-19,"11,844.00","11,844.05","11,657.75","11,672.15",295.53M,-1.28%
14-Jun-19,"11,910.10","11,911.85","11,797.70","11,823.30",390.30M,-0.76%
13-Jun-19,"11,873.90","11,931.35","11,817.05","11,914.05",447.90M,0.07%
12-Jun-19,"11,962.45","11,962.45","11,866.35","11,906.20",283.72M,-0.50%
11-Jun-19,"11,959.85","12,000.35","11,904.35","11,965.60",332.18M,0.36%
10-Jun-19,"11,934.90","11,975.05","11,871.75","11,922.70",303.33M,0.44%
7-Jun-19,"11,865.20","11,897.50","11,769.50","11,870.65",302.46M,0.23%
6-Jun-19,"12,039.80","12,039.80","11,830.25","11,843.75",415.21M,-1.48%
4-Jun-19,"12,052.65","12,095.20","12,005.85","12,021.65",289.22M,-0.55%
3-Jun-19,"11,953.75","12,103.05","11,920.10","12,088.55",315.30M,1.39%
31-May-19,"11,999.80","12,039.25","11,829.45","11,922.80",438.88M,-0.19%
30-May-19,"11,865.30","11,968.55","11,859.40","11,945.90",421.20M,0.71%
29-May-19,"11,905.80","11,931.90","11,836.80","11,861.10",318.07M,-0.57%
28-May-19,"11,958.35","11,958.55","11,864.90","11,928.75",598.31M,0.03%
27-May-19,"11,855.50","11,957.15","11,812.40","11,924.75",348.36M,0.68%
24-May-19,"11,748.00","11,859.00","11,658.10","11,844.10",374.64M,1.60%
23-May-19,"11,901.30","12,041.15","11,614.50","11,657.05",569.03M,-0.69%
22-May-19,"11,727.95","11,784.80","11,682.40","11,737.90",355.87M,0.25%
21-May-19,"11,863.65","11,883.55","11,682.80","11,709.10",381.04M,-1.01%
20-May-19,"11,651.90","11,845.20","11,591.70","11,828.25",452.10M,3.69%
17-May-19,"11,261.90","11,426.15","11,259.85","11,407.15",412.11M,1.33%
16-May-19,"11,180.35","11,281.55","11,143.35","11,257.10",350.74M,0.90%
15-May-19,"11,271.70","11,286.80","11,136.95","11,157.00",414.17M,-0.58%
14-May-19,"11,151.65","11,294.75","11,108.30","11,222.05",398.12M,0.66%
13-May-19,"11,258.70","11,300.20","11,125.60","11,148.20",357.59M,-1.16%
10-May-19,"11,314.15","11,345.80","11,251.05","11,278.90",387.32M,-0.20%
9-May-19,"11,322.40","11,357.60","11,255.05","11,301.80",373.03M,-0.51%
8-May-19,"11,478.70","11,479.10","11,346.95","11,359.45",372.83M,-1.20%
7-May-19,"11,651.50","11,657.05","11,484.45","11,497.90",337.50M,-0.87%
6-May-19,"11,605.80","11,632.55","11,571.35","11,598.25",299.05M,-0.97%
3-May-19,"11,722.60","11,770.90","11,699.35","11,712.25",305.52M,-0.11%
2-May-19,"11,725.55","11,789.30","11,699.55","11,724.75",380.28M,-0.20%
30-Apr-19,"11,748.75","11,756.25","11,655.90","11,748.15",532.63M,-0.06%
26-Apr-19,"11,683.75","11,762.90","11,661.75","11,754.65",333.48M,0.97%
25-Apr-19,"11,735.70","11,796.75","11,624.30","11,641.80",604.36M,-0.72%
24-Apr-19,"11,601.50","11,740.85","11,578.85","11,726.15",335.20M,1.30%
23-Apr-19,"11,612.95","11,645.95","11,564.80","11,575.95",272.54M,-0.16%
22-Apr-19,"11,727.05","11,727.05","11,583.95","11,594.45",260.36M,-1.35%
18-Apr-19,"11,856.15","11,856.15","11,738.50","11,752.80",339.65M,-0.29%
16-Apr-19,"11,736.20","11,810.95","11,731.55","11,787.15",354.32M,0.83%
15-Apr-19,"11,667.00","11,704.60","11,648.25","11,690.35",290.00M,0.40%
12-Apr-19,"11,612.85","11,657.35","11,578.80","11,643.45",246.01M,0.40%
11-Apr-19,"11,592.55","11,606.70","11,550.55","11,596.70",279.78M,0.11%
10-Apr-19,"11,646.85","11,680.05","11,571.75","11,584.30",359.94M,-0.75%
9-Apr-19,"11,612.05","11,683.90","11,569.70","11,671.95",300.47M,0.58%
8-Apr-19,"11,704.35","11,710.30","11,549.10","11,604.50",260.93M,-0.53%
5-Apr-19,"11,638.40","11,689.65","11,609.50","11,665.95",266.67M,0.59%
4-Apr-19,"11,660.20","11,662.55","11,559.20","11,598.00",349.03M,-0.39%
3-Apr-19,"11,735.30","11,761.00","11,629.15","11,643.95",365.76M,-0.59%
2-Apr-19,"11,711.55","11,729.35","11,655.85","11,713.20",386.13M,0.38%
1-Apr-19,"11,665.20","11,738.10","11,644.75","11,669.15",379.57M,0.39%
29-Mar-19,"11,625.45","11,630.35","11,570.15","11,623.90",416.28M,0.47%
28-Mar-19,"11,463.65","11,588.50","11,452.45","11,570.00",527.68M,1.09%
27-Mar-19,"11,531.45","11,546.20","11,413.00","11,445.05",350.45M,-0.33%
