Date,Open,High,Low,Price,Vol.,Change %,,,,
9/20/2019,10,740.9,11,381.15,10,692.75,11,275.45,1.36M,5.33%
9/19/2019,10,845.2,10,845.2,10,670.25,10,704.8,642.60M,-1.25%
9/18/2019,10,872.8,10,885.15,10,804.85,10,840.65,519.16M,0.21%
9/17/2019,11,0.1,11,0.1,10,796.5,10,817.6,482.01M,-1.69%
9/16/2019,10,994.85,11,52.7,10,968.2,11,3.5,434.45M,-0.65%
9/13/2019,10,986.8,11,84.45,10,945.75,11,75.9,624.31M,0.85%
9/12/2019,11,58.3,11,81.75,10,964.95,10,982.8,551.44M,-0.48%
9/11/2019,11,28.5,11,54.8,11,11.65,11,35.7,687.14M,0.30%
9/9/2019,10,936.7,11,28.85,10,889.8,11,3.05,412.47M,0.52%
9/6/2019,10,883.8,10,957.05,10,867.45,10,946.2,497.21M,0.91%
9/5/2019,10,860.95,10,920.1,10,816,10,847.9,595.70M,0.03%
9/4/2019,10,790.4,10,858.75,10,746.35,10,844.65,508.78M,0.43%
9/3/2019,10,960.95,10,967.5,10,772.7,10,797.9,483.04M,-2.04%
8/30/2019,10,987.8,11,42.6,10,874.8,11,23.25,628.15M,0.68%
8/29/2019,10,996.05,11,21.1,10,922.4,10,948.3,649.88M,-0.89%
8/28/2019,11,101.3,11,129.65,10,987.65,11,46.1,549.96M,-0.53%
8/27/2019,11,106.55,11,141.75,11,49.5,11,105.35,685.55M,0.43%
8/26/2019,11,0.3,11,70.3,10,756.55,11,57.85,684.14M,2.11%
8/23/2019,10,699.6,10,862.55,10,637.15,10,829.35,667.08M,0.82%
8/22/2019,10,905.3,10,908.25,10,718.3,10,741.35,668.19M,-1.62%
8/21/2019,11,18.15,11,34.2,10,906.65,10,918.7,557.87M,-0.89%
8/20/2019,11,63.9,11,76.3,10,985.3,11,17,444.72M,-0.33%
8/19/2019,11,94.8,11,146.9,11,37.85,11,53.9,369.49M,0.06%
8/16/2019,11,43.65,11,68.65,10,924.3,11,47.8,470.91M,0.17%
8/14/2019,11,3.25,11,78.15,10,935.6,11,29.4,511.54M,0.95%
8/13/2019,11,139.4,11,145.9,10,901.6,10,925.85,624.64M,-1.65%
8/9/2019,11,87.9,11,181.45,11,62.8,11,109.65,538.06M,0.70%
8/8/2019,10,899.2,11,58.05,10,842.95,11,32.45,482.47M,1.63%
8/7/2019,10,958.1,10,975.65,10,835.9,10,855.5,548.47M,-0.85%
8/6/2019,10,815.4,11,18.55,10,813.8,10,948.25,517.89M,0.79%
8/5/2019,10,895.8,10,895.8,10,782.6,10,862.6,506.56M,-1.23%
8/2/2019,10,930.3,11,80.15,10,848.95,10,997.35,547.42M,0.16%
8/1/2019,11,60.2,11,76.75,10,881,10,980,499.92M,-1.24%
7/31/2019,11,34.05,11,145.3,10,999.4,11,118,536.69M,0.29%
7/30/2019,11,213.7,11,267.45,11,72.65,11,85.4,479.06M,-0.93%
7/29/2019,11,307.5,11,310.95,11,152.4,11,189.2,482.86M,-0.84%
7/26/2019,11,247.45,11,307.6,11,210.05,11,284.3,522.67M,0.29%
7/25/2019,11,290.4,11,361.4,11,239.35,11,252.15,553.68M,-0.17%
7/24/2019,11,322.45,11,359.75,11,229.8,11,271.3,413.20M,-0.53%
7/23/2019,11,372.25,11,398.15,11,302.8,11,331.05,458.93M,-0.13%
7/22/2019,11,392.85,11,398.15,11,301.25,11,346.2,516.04M,-0.64%
