Date,Price,Open,High,Low,Vol.,Change %
9/27/2019,281.9,283,285.9,280,19.53M,0.02%
9/26/2019,281.85,281.5,289.9,277,79.01M,0.57%
9/25/2019,280.25,297,297.5,278.7,73.06M,-7.39%
9/24/2019,302.6,313.15,315.15,300.8,40.10M,-3.55%
9/23/2019,313.75,307.55,316,300.4,54.18M,3.99%
9/20/2019,301.7,274.5,307.65,268.4,84.48M,10.09%
9/19/2019,274.05,279.95,279.95,273.05,23.39M,-2.26%
9/18/2019,280.4,277.2,282.95,274.4,25.48M,2.35%
9/17/2019,273.95,285,286.45,273,21.53M,-3.78%
9/16/2019,284.7,288.2,290.45,283.8,18.27M,-2.40%
9/13/2019,291.7,285,292.5,282,27.30M,1.62%
9/12/2019,287.05,286.75,288.8,284.15,21.96M,0.63%
9/11/2019,285.25,278.5,285.85,278.5,21.00M,2.61%
9/9/2019,278,273.95,278.7,271,18.62M,1.48%
9/6/2019,273.95,275.05,277,272.1,16.68M,0.24%
9/5/2019,273.3,275,276.35,271.05,25.09M,-0.65%
9/4/2019,275.1,269.7,275.85,267.25,27.31M,2.50%
9/3/2019,268.4,272,272,266.95,21.24M,-1.99%
8/30/2019,273.85,275.95,277.95,266.85,45.70M,-0.24%
8/29/2019,274.5,283.2,284.3,273.3,27.08M,-3.65%
8/28/2019,284.9,286.65,286.65,282.2,18.98M,-0.28%
8/27/2019,285.7,284,288,282.6,45.16M,1.96%
8/26/2019,280.2,288,288,270,64.07M,3.36%
8/23/2019,271.1,267.1,275.25,262.7,35.21M,0.95%
8/22/2019,268.55,278.3,278.3,267.3,27.73M,-3.19%
8/21/2019,277.4,285.5,285.6,276.3,28.23M,-2.22%
8/20/2019,283.7,287.3,287.4,280.65,23.20M,-1.10%
8/19/2019,286.85,292,292.4,286,19.83M,-1.39%
8/16/2019,290.9,287.95,292.8,284.3,20.05M,0.40%
8/14/2019,289.75,285.05,291.25,284.5,18.52M,2.26%
8/13/2019,283.35,290.9,291.55,282.5,24.23M,-2.75%
8/9/2019,291.35,296.3,298,290.05,23.38M,-1.02%
8/8/2019,294.35,290,295.5,285.6,32.93M,1.54%
8/7/2019,289.9,302.4,302.45,288.8,30.82M,-3.82%
8/6/2019,301.4,298.8,304.25,297.25,30.44M,0.38%
8/5/2019,300.25,298.45,302.85,291.7,48.82M,-2.66%
8/2/2019,308.45,315.55,322.25,307.05,64.47M,-2.74%
8/1/2019,317.15,330.8,331.5,311.35,40.85M,-4.53%
7/31/2019,332.2,325.1,333.2,323.9,22.74M,1.42%
7/30/2019,327.55,344.4,346.7,325.85,24.44M,-4.73%
7/29/2019,343.8,343.95,346.55,336.8,17.06M,0.35%
7/26/2019,342.6,340.8,346.15,340.5,16.14M,0.38%
7/25/2019,341.3,341.7,343.2,337.4,19.86M,0.50%
7/24/2019,339.6,341.85,344.7,336.25,20.82M,-0.76%
7/23/2019,342.2,351.2,353,341,27.96M,-2.47%
7/22/2019,350.85,356,359.55,348.7,19.68M,-1.45%
7/19/2019,356,365.1,366.05,355.15,22.21M,-2.10%
7/18/2019,363.65,371.95,373.8,362.55,21.69M,-2.35%
7/17/2019,372.4,364.05,373.55,363.05,17.55M,2.21%
7/16/2019,364.35,358.5,366,357.65,16.25M,1.19%
7/15/2019,360.05,364.1,365,357.6,15.67M,-0.98%
7/12/2019,363.6,363,366.55,361.5,14.66M,0.11%
7/11/2019,363.2,358.5,364,357,20.05M,2.54%
7/10/2019,354.2,360.55,361.5,351.3,18.68M,-1.47%
7/9/2019,359.5,353.5,360,352.5,16.58M,1.18%
7/8/2019,355.3,368,368.45,353.5,27.25M,-4.14%
7/5/2019,370.65,369.45,373.6,366,30.02M,0.88%
7/4/2019,367.4,367.25,370.9,366.2,19.25M,0.34%
7/3/2019,366.15,365.25,366.7,363,12.63M,0.45%
7/2/2019,364.5,362.15,365,360.35,14.48M,0.82%
7/1/2019,361.55,362.8,363,358.5,12.35M,0.08%
6/28/2019,361.25,362.2,365,358.7,22.71M,-0.25%
6/27/2019,362.15,358.1,363,357.25,29.66M,1.12%
6/26/2019,358.15,355.75,359,354.3,15.84M,0.45%
6/25/2019,356.55,352.7,357,351.25,15.92M,0.95%
6/24/2019,353.2,350,354.75,349.65,17.92M,1.09%
6/21/2019,349.4,344.8,350.7,343.15,24.75M,1.23%
6/20/2019,345.15,341,346.25,335.6,20.63M,1.86%
6/19/2019,338.85,343.1,345.2,335.5,16.42M,-0.35%
6/18/2019,340.05,335.5,344,333.8,21.96M,0.65%
6/17/2019,337.85,343.75,343.75,336.95,13.78M,-1.73%
6/14/2019,343.8,345.5,346.35,342.55,10.35M,-0.78%
6/13/2019,346.5,343,347.45,339.8,15.51M,0.73%
6/12/2019,344,346.95,346.95,342.3,11.57M,-0.89%
6/11/2019,347.1,345.05,348.3,342.85,16.28M,0.81%
6/10/2019,344.3,346,347.3,340.15,20.50M,0.66%
6/7/2019,342.05,337,342.75,336,29.74M,1.53%
6/6/2019,336.9,349,349.6,335.9,41.94M,-4.40%
6/4/2019,352.4,354,357.2,351.4,18.13M,-0.86%
6/3/2019,355.45,352.35,356.45,349.65,18.38M,0.84%
5/31/2019,352.5,354.35,357.9,344.65,32.59M,-0.30%
5/30/2019,353.55,349.75,355,347.5,25.71M,1.41%
5/29/2019,348.65,358,359,347.15,28.37M,-3.17%
5/28/2019,360.05,360.95,361.7,356.65,23.50M,-0.46%
5/27/2019,361.7,355.05,362.5,354,31.38M,1.79%
5/24/2019,355.35,344.95,357,343.5,35.70M,3.84%
5/23/2019,342.2,353,364,339.2,74.41M,0.32%
5/22/2019,341.1,338.9,342.6,333.55,32.00M,1.05%
5/21/2019,337.55,345.9,347.55,336.25,33.46M,-2.07%
