Date,close,Close,Open,High,Low,Volume,OpenInt
1/3/1977,31.952,319.52,31.883,32.224,31.883,132241,0
1/4/1977,31.547,315.47,31.952,32.087,31.478,111500,0
1/5/1977,31.341,313.41,31.547,32.02,31.14,148727,0
1/6/1977,31.276,312.76,31.341,31.68,31.072,131354,0
1/7/1977,31.14,311.4,31.276,31.411,30.599,111500,0
1/10/1977,31.206,312.06,31.14,31.478,30.801,154223,0
1/11/1977,30.734,307.34,31.206,31.748,30.734,113450,0
1/12/1977,30.666,306.66,30.734,30.937,30.396,123732,0
1/13/1977,31.072,310.72,30.666,31.072,30.666,119301,0
1/14/1977,30.801,308.01,31.072,31.14,30.734,135431,0
1/17/1977,30.666,306.66,30.801,31.14,30.464,118768,0
1/18/1977,30.532,305.32,30.666,31.072,30.396,286108,0
1/19/1977,30.801,308.01,30.532,30.801,30.158,139686,0
1/20/1977,30.293,302.93,30.801,30.801,29.616,199247,0
1/21/1977,30.666,306.66,30.293,30.666,30.023,175493,0
1/24/1977,30.158,301.58,30.464,30.464,30.023,201727,0
1/25/1977,30.023,300.23,30.158,30.464,29.75,137735,0
1/26/1977,29.82,298.2,30.023,30.091,29.685,121959,0
1/27/1977,28.872,288.72,29.55,29.55,28.534,251008,0
1/28/1977,29.144,291.44,28.872,29.211,28.669,229206,0
1/31/1977,29.616,296.16,29.144,29.685,28.94,186130,0
2/1/1977,29.144,291.44,29.616,29.75,29.144,190916,0
2/2/1977,28.534,285.34,29.144,29.82,28.466,237360,0
2/3/1977,28.94,289.4,28.534,28.94,28.33,156348,0
2/4/1977,28.94,289.4,28.94,29.211,28.737,183116,0
2/7/1977,28.94,289.4,28.94,29.345,28.803,112387,0
2/8/1977,28.466,284.66,28.94,29.075,28.33,461777,0
2/9/1977,28.601,286.01,28.466,28.601,28.06,274230,0
2/10/1977,28.534,285.34,28.601,28.737,28.195,171062,0
2/11/1977,28.466,284.66,28.534,28.601,28.33,141812,0
2/14/1977,28.803,288.03,28.466,28.803,28.126,169821,0
2/15/1977,28.737,287.37,28.803,28.872,28.601,171062,0
2/16/1977,28.803,288.03,28.737,29.075,28.601,122491,0
2/17/1977,28.534,285.34,28.803,28.803,28.398,108663,0
2/18/1977,28.398,283.98,28.534,28.534,28.126,87924,0
2/22/1977,28.466,284.66,28.398,28.601,28.33,107246,0
2/23/1977,27.925,279.25,28.466,28.466,27.789,169999,0
2/24/1977,27.348,273.48,27.925,27.925,27.282,290893,0
2/25/1977,27.687,276.87,27.348,27.925,27.282,207401,0
2/28/1977,27.619,276.19,27.72,27.789,27.212,218569,0
3/1/1977,27.925,279.25,27.619,28.195,27.552,240728,0
3/2/1977,27.552,275.52,27.925,28.06,27.416,140218,0
3/3/1977,27.856,278.56,27.552,27.856,27.552,137026,0
3/4/1977,28.195,281.95,27.856,28.398,27.789,88278,0
3/7/1977,28.398,283.98,28.195,28.466,28.126,90583,0
3/8/1977,27.992,279.92,28.398,28.534,27.925,95192,0
3/9/1977,27.282,272.82,27.925,27.925,27.282,230978,0
3/10/1977,27.72,277.2,27.282,27.789,27.145,182230,0
3/11/1977,27.416,274.16,27.619,27.619,27.282,190739,0
3/14/1977,27.619,276.19,27.416,27.619,26.74,122136,0
3/15/1977,27.416,274.16,27.619,27.619,27.282,219100,0
3/16/1977,27.416,274.16,27.416,27.619,27.348,467096,0
3/17/1977,27.348,273.48,27.348,27.348,27.212,151030,0
3/18/1977,26.875,268.75,27.348,27.348,26.74,417993,0
3/21/1977,26.535,265.35,26.875,26.942,26.265,224950,0
3/22/1977,26.671,266.71,26.535,26.671,26.334,155107,0
3/23/1977,26.265,262.65,26.671,26.74,26.265,146244,0
3/24/1977,25.858,258.58,26.265,26.401,25.724,198183,0
3/25/1977,25.927,259.27,25.858,26.064,25.657,170353,0
3/28/1977,26.13,261.3,25.927,26.197,25.724,132063,0
3/29/1977,26.671,266.71,26.13,26.671,26.13,279726,0
3/30/1977,26.197,261.97,26.671,26.74,26.064,156348,0
3/31/1977,26.265,262.65,26.197,26.468,26.064,214670,0
4/1/1977,26.468,264.68,26.265,26.468,26.13,162021,0
4/4/1977,26.13,261.3,26.468,26.535,26.064,138267,0
4/5/1977,25.927,259.27,26.13,26.197,25.724,188789,0
4/6/1977,25.521,255.21,25.927,26.13,25.385,130468,0
4/7/1977,25.385,253.85,25.453,25.453,25.317,103523,0
4/11/1977,25.927,259.27,25.385,26.064,25.385,181698,0
4/12/1977,26.875,268.75,26.197,27.011,26.197,279371,0
4/13/1977,26.74,267.4,26.807,26.807,26.334,327766,0
4/14/1977,26.807,268.07,26.74,27.145,26.74,147130,0
4/15/1977,26.468,264.68,26.74,26.74,26.401,112387,0
4/18/1977,25.183,251.83,26.468,26.468,25.183,140395,0
4/19/1977,24.811,248.11,25.183,25.453,24.742,292134,0
4/20/1977,25.59,255.9,24.811,25.59,24.811,321028,0
4/21/1977,25.385,253.85,25.59,26.064,25.385,312520,0
4/22/1977,25.385,253.85,25.385,25.385,25.114,126745,0
4/25/1977,25.013,250.13,25.385,25.385,24.878,141990,0
4/26/1977,25.013,250.13,25.013,25.317,24.811,153158,0
4/27/1977,25.251,252.51,25.013,25.453,25.013,117881,0
4/28/1977,25.385,253.85,25.251,25.59,25.183,156880,0
4/29/1977,24.946,249.46,25.385,25.453,24.742,317660,0
5/2/1977,24.405,244.05,24.676,24.676,23.862,346378,0
5/3/1977,24.133,241.33,24.405,24.676,24.133,200310,0
5/4/1977,24.269,242.69,24.133,24.405,23.659,298694,0
5/5/1977,24.337,243.37,24.269,24.405,24.133,155285,0
5/6/1977,24.269,242.69,24.337,24.405,24.133,133836,0
5/9/1977,24.742,247.42,24.269,24.811,24.269,117526,0
5/10/1977,24.742,247.42,24.742,25.183,24.676,178862,0
5/11/1977,25.251,252.51,24.742,25.251,24.742,183293,0
5/12/1977,25.657,256.57,25.251,25.792,25.114,153689,0
5/13/1977,25.993,259.93,25.657,26.13,25.59,150853,0
5/16/1977,26.197,261.97,25.993,26.468,25.993,113628,0
5/17/1977,26.468,264.68,26.197,26.468,25.993,124263,0
